date,msci
10/03/2011,"1,074.812"
10/04/2011,"1,074.496"
10/05/2011,"1,096.162"
10/06/2011,"1,123.846"
10/07/2011,"1,126.152"
10/10/2011,"1,156.539"
10/11/2011,"1,159.277"
10/12/2011,"1,175.708"
10/13/2011,"1,169.207"
10/14/2011,"1,186.399"
10/17/2011,"1,171.840"
10/18/2011,"1,177.541"
10/19/2011,"1,174.970"
10/20/2011,"1,166.921"
10/21/2011,"1,194.330"
10/24/2011,"1,211.885"
10/25/2011,"1,195.813"
10/26/2011,"1,200.429"
10/27/2011,"1,250.822"
10/28/2011,"1,254.203"
10/31/2011,"1,217.296"
11/01/2011,"1,174.773"
11/02/2011,"1,189.295"
11/03/2011,"1,206.762"
11/04/2011,"1,203.067"
11/07/2011,"1,204.973"
11/08/2011,"1,215.688"
11/09/2011,"1,180.592"
11/10/2011,"1,178.919"
11/11/2011,"1,205.460"
11/14/2011,"1,194.555"
11/15/2011,"1,191.204"
11/16/2011,"1,178.948"
11/17/2011,"1,162.670"
11/18/2011,"1,157.500"
11/21/2011,"1,130.984"
11/22/2011,"1,127.249"
11/23/2011,"1,102.892"
11/24/2011,"1,099.840"
11/25/2011,"1,097.810"
11/28/2011,"1,132.349"
11/29/2011,"1,139.696"
11/30/2011,"1,184.604"
12/01/2011,"1,184.459"
12/02/2011,"1,187.636"
12/05/2011,"1,199.331"
12/06/2011,"1,193.676"
12/07/2011,"1,197.310"
12/08/2011,"1,174.600"
12/09/2011,"1,187.286"
12/12/2011,"1,168.923"
12/13/2011,"1,159.392"
12/14/2011,"1,139.045"
12/15/2011,"1,142.851"
12/16/2011,"1,146.476"
12/19/2011,"1,135.299"
12/20/2011,"1,163.898"
12/21/2011,"1,164.162"
12/22/2011,"1,173.460"
12/23/2011,"1,182.239"
12/26/2011,"1,182.850"
12/27/2011,"1,183.588"
12/28/2011,"1,167.961"
12/29/2011,"1,177.558"
12/30/2011,"1,182.595"
01/02/2012,"1,186.071"
01/03/2012,"1,206.093"
01/04/2012,"1,203.620"
01/05/2012,"1,197.032"
01/06/2012,"1,191.667"
01/09/2012,"1,192.485"
01/10/2012,"1,207.554"
01/11/2012,"1,204.301"
01/12/2012,"1,207.369"
01/13/2012,"1,201.059"
01/16/2012,"1,202.483"
01/17/2012,"1,211.635"
01/18/2012,"1,222.170"
01/19/2012,"1,233.004"
01/20/2012,"1,235.638"
01/23/2012,"1,242.690"
01/24/2012,"1,237.125"
01/25/2012,"1,243.353"
01/26/2012,"1,250.634"
01/27/2012,"1,246.038"
01/30/2012,"1,238.887"
01/31/2012,"1,240.894"
02/01/2012,"1,257.584"
02/02/2012,"1,259.913"
02/03/2012,"1,273.743"
02/06/2012,"1,273.460"
02/07/2012,"1,278.271"
02/08/2012,"1,281.234"
02/09/2012,"1,284.242"
02/10/2012,"1,269.663"
02/13/2012,"1,279.204"
02/14/2012,"1,273.911"
02/15/2012,"1,274.572"
02/16/2012,"1,280.157"
02/17/2012,"1,288.051"
02/20/2012,"1,296.425"
02/21/2012,"1,294.618"
02/22/2012,"1,288.977"
02/23/2012,"1,294.344"
02/24/2012,"1,300.569"
02/27/2012,"1,298.085"
02/28/2012,"1,302.996"
02/29/2012,"1,298.720"
03/01/2012,"1,304.481"
03/02/2012,"1,298.505"
03/05/2012,"1,292.050"
03/06/2012,"1,265.484"
03/07/2012,"1,270.771"
03/08/2012,"1,290.382"
03/09/2012,"1,291.861"
03/12/2012,"1,289.613"
03/13/2012,"1,308.592"
03/14/2012,"1,305.706"
03/15/2012,"1,314.449"
03/16/2012,"1,320.957"
03/19/2012,"1,325.651"
03/20/2012,"1,316.707"
03/21/2012,"1,312.394"
03/22/2012,"1,304.326"
03/23/2012,"1,308.247"
03/26/2012,"1,323.378"
03/27/2012,"1,322.318"
03/28/2012,"1,312.447"
03/29/2012,"1,305.421"
03/30/2012,"1,312.011"
04/02/2012,"1,324.257"
04/03/2012,"1,316.884"
04/04/2012,"1,291.811"
04/05/2012,"1,290.089"
04/06/2012,"1,289.028"
04/09/2012,"1,280.141"
04/10/2012,"1,259.339"
04/11/2012,"1,266.597"
04/12/2012,"1,284.254"
04/13/2012,"1,268.349"
04/16/2012,"1,266.942"
04/17/2012,"1,287.090"
04/18/2012,"1,283.872"
04/19/2012,"1,277.721"
04/20/2012,"1,281.713"
04/23/2012,"1,264.215"
04/24/2012,"1,271.804"
04/25/2012,"1,285.520"
04/26/2012,"1,293.430"
04/27/2012,"1,298.712"
04/30/2012,"1,293.991"
05/01/2012,"1,296.982"
05/02/2012,"1,291.502"
05/03/2012,"1,284.441"
