date,msci
11/30/2011,300.447
12/01/2011,301.681
12/02/2011,302.454
12/05/2011,305.264
12/06/2011,303.490
12/07/2011,304.535
12/08/2011,299.024
12/09/2011,301.281
12/12/2011,296.834
12/13/2011,294.393
12/14/2011,289.357
12/15/2011,289.901
12/16/2011,291.009
12/19/2011,287.904
12/20/2011,294.730
12/21/2011,295.422
12/22/2011,297.619
12/23/2011,299.897
12/26/2011,300.030
12/27/2011,300.055
12/28/2011,296.136
12/29/2011,298.306
12/30/2011,299.511
01/02/2012,300.309
01/03/2012,305.681
01/04/2012,305.036
01/05/2012,303.367
01/06/2012,301.958
01/09/2012,302.296
01/10/2012,306.370
01/11/2012,305.643
01/12/2012,306.521
01/13/2012,305.101
01/16/2012,305.372
01/17/2012,308.242
01/18/2012,310.927
01/19/2012,313.756
01/20/2012,314.491
01/23/2012,316.240
01/24/2012,314.924
01/25/2012,316.385
01/26/2012,318.630
01/27/2012,317.679
01/30/2012,315.667
01/31/2012,316.655
02/01/2012,320.780
02/02/2012,321.876
02/03/2012,325.119
02/06/2012,325.009
02/07/2012,326.129
02/08/2012,327.285
02/09/2012,327.991
02/10/2012,323.960
02/13/2012,326.519
02/14/2012,325.098
02/15/2012,325.719
02/16/2012,326.575
02/17/2012,328.867
02/20/2012,330.887
02/21/2012,330.401
02/22/2012,329.158
02/23/2012,330.128
02/24/2012,331.848
02/27/2012,330.843
02/28/2012,332.437
02/29/2012,331.927
03/01/2012,333.077
03/02/2012,331.900
03/05/2012,329.867
03/06/2012,322.994
03/07/2012,324.019
03/08/2012,328.977
03/09/2012,329.606
03/12/2012,328.716
03/13/2012,333.578
03/14/2012,332.952
03/15/2012,334.829
03/16/2012,336.181
03/19/2012,337.136
03/20/2012,334.681
03/21/2012,333.637
03/22/2012,331.561
03/23/2012,332.486
03/26/2012,335.930
03/27/2012,336.155
03/28/2012,333.495
03/29/2012,331.474
03/30/2012,333.297
04/02/2012,336.266
04/03/2012,334.962
04/04/2012,328.658
04/05/2012,328.275
04/06/2012,328.017
04/09/2012,325.620
04/10/2012,320.600
04/11/2012,322.207
04/12/2012,326.472
04/13/2012,323.054
04/16/2012,322.440
04/17/2012,326.901
04/18/2012,326.341
04/19/2012,324.969
04/20/2012,325.770
04/23/2012,321.339
04/24/2012,323.149
04/25/2012,326.200
04/26/2012,328.132
04/27/2012,329.447
04/30/2012,328.673
05/01/2012,329.315
05/02/2012,328.280
05/03/2012,326.488
05/04/2012,321.716
05/07/2012,320.359
05/08/2012,317.686
05/09/2012,314.927
05/10/2012,315.970
05/11/2012,314.987
05/14/2012,310.204
05/15/2012,307.671
05/16/2012,304.698
05/17/2012,301.645
05/18/2012,298.171
05/21/2012,301.332
05/22/2012,303.440
05/23/2012,299.747
05/24/2012,300.867
05/25/2012,300.226
05/28/2012,300.872
05/29/2012,303.900
05/30/2012,298.873
05/31/2012,297.985
06/01/2012,292.014
06/04/2012,291.149
06/05/2012,292.882
06/06/2012,299.145
06/07/2012,301.165
06/08/2012,300.416
06/11/2012,299.767
06/12/2012,301.417
06/13/2012,301.301
06/14/2012,302.343
06/15/2012,305.597
06/18/2012,306.669
06/19/2012,310.424
06/20/2012,311.192
06/21/2012,305.526
06/22/2012,304.631
06/25/2012,300.244
06/26/2012,300.833
06/27/2012,303.588
06/28/2012,302.928
06/29/2012,312.111
07/02/2012,313.336
07/03/2012,316.385
07/04/2012,316.092
07/05/2012,314.327
07/06/2012,311.066
07/09/2012,309.479
07/10/2012,308.241
07/11/2012,308.169
07/12/2012,304.899
07/13/2012,309.396
07/16/2012,309.378
07/17/2012,310.477
07/18/2012,312.583
07/19/2012,314.943
07/20/2012,311.126
07/23/2012,305.844
07/24/2012,303.692
07/25/2012,303.283
07/26/2012,309.496
07/27/2012,315.455
07/30/2012,316.613
07/31/2012,316.024
08/01/2012,315.551
08/02/2012,312.262
08/03/2012,318.043
08/06/2012,320.465
08/07/2012,322.372
08/08/2012,322.418
08/09/2012,323.156
08/10/2012,323.280
08/13/2012,322.537
08/14/2012,323.009
08/15/2012,322.731
08/16/2012,325.183
08/17/2012,325.561
08/20/2012,325.378
08/21/2012,326.451
08/22/2012,324.966
08/23/2012,324.594
08/24/2012,324.358
08/27/2012,324.322
08/28/2012,323.644
08/29/2012,323.257
08/30/2012,320.426
08/31/2012,322.137
09/03/2012,322.709
09/04/2012,321.132
09/05/2012,320.486
09/06/2012,326.329
09/07/2012,330.295
09/10/2012,329.068
09/11/2012,330.392
09/12/2012,331.720
09/13/2012,334.690
09/14/2012,340.033
09/17/2012,338.801
09/18/2012,337.422
09/19/2012,338.488
09/20/2012,336.473
09/21/2012,337.608
09/24/2012,336.136
09/25/2012,335.023
09/26/2012,330.602
09/27/2012,333.315
09/28/2012,331.578
10/01/2012,333.296
10/02/2012,333.497
10/03/2012,333.209
10/04/2012,335.565
10/05/2012,336.959
10/08/2012,334.666
10/09/2012,331.757
10/10/2012,329.733
10/11/2012,330.709
10/12/2012,330.118
10/15/2012,331.550
10/16/2012,335.568
10/17/2012,338.138
10/18/2012,338.220
10/19/2012,334.102
10/22/2012,333.840
10/23/2012,328.792
10/24/2012,328.425
10/25/2012,329.500
10/26/2012,328.588
10/29/2012,327.847
10/30/2012,329.122
10/31/2012,329.067
11/01/2012,331.824
11/02/2012,330.396
11/05/2012,329.704
11/06/2012,331.710
11/07/2012,326.830
11/08/2012,323.587
11/09/2012,323.252
11/12/2012,322.804
11/13/2012,321.963
11/14/2012,318.642
11/15/2012,317.661
11/16/2012,317.350
11/19/2012,323.779
11/20/2012,323.937
11/21/2012,324.663
11/22/2012,326.232
11/23/2012,329.829
11/26/2012,329.303
11/27/2012,328.636
11/28/2012,329.412
11/29/2012,332.325
11/30/2012,332.642
12/03/2012,332.406
12/04/2012,332.327
12/05/2012,333.057
12/06/2012,334.044
12/07/2012,334.518
12/10/2012,334.998
12/11/2012,336.990
12/12/2012,337.792
12/13/2012,336.816
12/14/2012,336.358
12/17/2012,338.382
12/18/2012,341.450
12/19/2012,341.958
12/20/2012,342.588
12/21/2012,339.801
12/24/2012,339.229
12/25/2012,339.455
12/26/2012,338.833
12/27/2012,339.021
12/28/2012,337.176
12/31/2012,339.749
01/01/2013,339.785
01/02/2013,347.089
01/03/2013,346.619
01/04/2013,347.679
01/07/2013,346.883
01/08/2013,345.605
01/09/2013,346.822
01/10/2013,349.488
01/11/2013,350.083
01/14/2013,350.025
01/15/2013,350.278
01/16/2013,349.339
01/17/2013,351.019
01/18/2013,351.770
01/21/2013,351.979
01/22/2013,352.913
01/23/2013,352.678
01/24/2013,353.181
01/25/2013,355.106
01/28/2013,354.273
01/29/2013,356.287
01/30/2013,355.949
01/31/2013,355.102
02/01/2013,357.759
02/04/2013,353.983
02/05/2013,354.973
02/06/2013,355.515
02/07/2013,353.921
02/08/2013,355.855
02/11/2013,354.720
02/12/2013,356.525
02/13/2013,356.766
02/14/2013,356.318
02/15/2013,355.316
02/18/2013,355.564
02/19/2013,358.054
02/20/2013,356.081
02/21/2013,351.485
02/22/2013,353.689
02/25/2013,351.343
02/26/2013,349.711
02/27/2013,352.821
02/28/2013,354.430
03/01/2013,353.611
03/04/2013,353.811
03/05/2013,357.553
03/06/2013,358.415
03/07/2013,358.912
03/08/2013,360.097
03/11/2013,361.343
03/12/2013,360.751
03/13/2013,359.628
03/14/2013,361.854
03/15/2013,362.563
03/18/2013,359.071
03/19/2013,357.924
03/20/2013,359.657
03/21/2013,357.797
03/22/2013,358.750
03/25/2013,357.801
03/26/2013,359.377
03/27/2013,358.708
03/28/2013,359.982
03/29/2013,360.057
04/01/2013,358.470
04/02/2013,360.008
04/03/2013,357.668
04/04/2013,356.590
04/05/2013,355.524
04/08/2013,357.101
04/09/2013,358.919
04/10/2013,363.558
04/11/2013,366.052
04/12/2013,364.260
04/15/2013,357.961
04/16/2013,359.899
04/17/2013,355.578
04/18/2013,353.879
04/19/2013,356.347
04/22/2013,357.443
04/23/2013,361.049
04/24/2013,362.913
04/25/2013,365.186
04/26/2013,364.655
04/29/2013,367.214
04/30/2013,369.422
05/01/2013,367.249
05/02/2013,367.918
05/03/2013,370.934
05/06/2013,370.960
05/07/2013,373.485
05/08/2013,376.406
05/09/2013,374.639
05/10/2013,374.242
05/13/2013,374.210
05/14/2013,376.281
05/15/2013,377.356
05/16/2013,376.738
05/17/2013,377.808
05/20/2013,379.104
05/21/2013,379.594
05/22/2013,377.888
05/23/2013,372.659
05/24/2013,372.537
